,date,Q,H,Q_ssa,H_ssa
0,01/1/2008,1080.0,493.0,-479.56811908712723,-3.301955594015417
1,02/1/2008,1020.0,460.0,-441.11004384159423,-8.426018310418337
2,03/1/2008,1290.0,460.0,-347.56758187014293,-11.420019486118672
3,04/1/2008,1400.0,477.0,-234.7111316205398,-13.308045676013514
4,05/1/2008,1600.0,475.0,-119.02354676843696,-14.839375211240203
5,06/1/2008,1880.0,473.0,-26.222007620102488,-15.482670799213551
6,07/1/2008,1300.0,474.0,17.14086842372599,-15.011774918364491
7,08/1/2008,1610.0,476.0,20.810419373746186,-13.573329277033547
8,09/1/2008,1780.0,471.0,-21.740296834402216,-11.607807412515928
9,10/1/2008,1810.0,476.0,-101.54553151333553,-9.408019722676192
10,11/1/2008,1580.0,480.0,-201.00446299286259,-7.612127372600527
11,12/1/2008,1580.0,481.0,-294.9594248443267,-6.552673846683336
12,13/1/2008,1540.0,494.0,-362.69715256269126,-6.6319798785789645
13,14/1/2008,1190.0,494.0,-386.6065463373718,-7.902654142962457
14,15/1/2008,1310.0,498.0,-351.42053278398066,-9.838833028607805
15,16/1/2008,1490.0,491.0,-259.8696578628672,-11.754432661179433
16,17/1/2008,1480.0,477.0,-121.50903647536835,-12.53266736309141
17,18/1/2008,1780.0,485.0,47.60571931979178,-11.366865364688469
18,19/1/2008,2140.0,479.0,219.47335995220996,-8.078195447020493
19,20/1/2008,2380.0,485.0,363.97707612599885,-2.9340936082745293
20,21/1/2008,2400.0,513.0,458.1507436789034,3.302349234202099
21,22/1/2008,2230.0,522.0,488.103882024764,9.929516471120545
22,23/1/2008,2170.0,521.0,453.19264037784376,16.349573287733495
23,24/1/2008,1980.0,524.0,359.605193794956,22.153031344210305
24,25/1/2008,1860.0,529.0,226.3082674206505,26.793039091078818
25,26/1/2008,2040.0,531.0,77.88534254342188,29.608539895980684
26,27/1/2008,2200.0,530.0,-63.8510349719448,30.396945573138403
27,28/1/2008,1750.0,532.0,-173.16379252091843,29.143509882175707
28,29/1/2008,1310.0,524.0,-219.24038767501514,26.021952350507647
29,30/1/2008,1230.0,520.0,-181.72714848171253,21.723962641712752
30,31/1/2008,1440.0,499.0,-66.15124165389643,16.791191979246022
31,1/2/2008,1620.0,514.0,99.15412952944797,11.838827089973579
32,2/2/2008,1900.0,507.0,274.68861971821525,6.555155125381756
33,3/2/2008,2200.0,500.0,416.9830892836133,0.5996076208997945
34,4/2/2008,2550.0,497.0,489.3183079669526,-6.087637982477471
35,5/2/2008,2200.0,462.0,465.65117306455727,-13.340390325429341
36,6/2/2008,1790.0,452.0,354.20298630460036,-19.914038921582655
37,7/2/2008,1550.0,436.0,179.84237469024237,-24.912378525005032
38,8/2/2008,1290.0,453.0,-28.63221697802591,-27.470794566135616
39,9/2/2008,1040.0,483.0,-239.2161280425512,-27.489430890515205
40,10/2/2008,919.0,479.0,-418.86357263216917,-26.181877788850535
41,11/2/2008,777.0,461.0,-540.5820235857161,-22.794308387154523
42,12/2/2008,730.0,435.0,-588.3175454776899,-16.869619344254016
43,13/2/2008,887.0,426.0,-564.7965994993326,-8.218339671189014
44,14/2/2008,974.0,474.0,-489.6418033170389,2.226317674466567
45,15/2/2008,990.0,483.0,-387.9629589223937,11.7592973688058
46,16/2/2008,1050.0,507.0,-282.8785429551508,18.653068871778213
47,17/2/2008,1060.0,519.0,-192.5848116780225,21.38575333990935
48,18/2/2008,937.0,502.0,-124.40590793298352,19.375050066220872
49,19/2/2008,1190.0,477.0,-75.1877526719627,13.755747258615127
50,20/2/2008,1500.0,466.0,-46.26472161464821,6.6053729716439555
51,21/2/2008,1620.0,436.0,-38.68251011086984,0.1362626531561837
52,22/2/2008,1480.0,462.0,-44.771501301602115,-3.606563790757357
53,23/2/2008,1370.0,467.0,-47.98789584535342,-4.699687412961248
54,24/2/2008,1270.0,466.0,-32.35148058988656,-3.1292127525015347
55,25/2/2008,1070.0,465.0,13.616809305824418,0.7101476669848079
56,26/2/2008,1240.0,464.0,98.12605171855515,5.878536163893413
57,27/2/2008,1660.0,459.0,211.30376112024442,10.894061048817647
58,28/2/2008,2320.0,441.0,328.906413073227,14.387344282656308
59,29/2/2008,2420.0,567.0,418.85439379953925,15.076154906681765
60,1/3/2008,1890.0,443.0,463.64106472410134,9.14227869869068
61,2/3/2008,1550.0,433.0,465.05388323513324,-0.41812714333052625
62,3/3/2008,1690.0,428.0,426.39264425883,-12.223994626268912
63,4/3/2008,1880.0,433.0,344.34234563144446,-24.415350324724965
64,5/3/2008,2000.0,439.0,219.44223729499714,-35.25321422877087
65,6/3/2008,1740.0,419.0,60.8171352936227,-43.32213402358783
66,7/3/2008,1440.0,401.0,-106.67190195256023,-46.57667910494372
67,8/3/2008,1300.0,420.0,-254.494724623183,-43.7501595285344
68,9/3/2008,1060.0,433.0,-358.9809918300711,-35.1907735665023
69,10/3/2008,805.0,441.0,-400.82080254419736,-22.065429358723435
70,11/3/2008,1000.0,434.0,-373.04511828583315,-6.056481676467016
71,12/3/2008,1220.0,444.0,-289.56522896283303,10.542174807823693
72,13/3/2008,1340.0,519.0,-173.6551960843808,24.744791221896364
73,14/3/2008,1390.0,525.0,-48.158460290385456,32.05127931633687
74,15/3/2008,1480.0,508.0,67.02946790022199,30.646546292226866
75,16/3/2008,1700.0,513.0,154.9758216117059,20.89377713463573
76,17/3/2008,1770.0,506.0,203.26578454931717,4.1744827827587505
77,18/3/2008,1650.0,462.0,210.13688288677412,-16.30953497600681
78,19/3/2008,1380.0,445.0,185.65027673728818,-35.49861907874806
79,20/3/2008,1380.0,440.0,145.0745168718662,-48.74763678035035
80,21/3/2008,1470.0,425.0,99.73927017798253,-53.27102441738378
81,22/3/2008,1450.0,451.0,58.1578815094721,-46.2586988384063
82,23/3/2008,1380.0,477.0,24.686154537978148,-28.35372298397419
83,24/3/2008,1280.0,512.0,-2.0289027194740434,-2.3707989977807475
84,25/3/2008,1320.0,547.0,-26.258591360550078,27.042615101211197
85,26/3/2008,1330.0,562.0,-55.217795069508455,54.623478243004634
86,27/3/2008,1360.0,584.0,-94.18886521952919,75.8730726704189
87,28/3/2008,1230.0,599.0,-142.51260781611444,87.124367251423
88,29/3/2008,1120.0,626.0,-190.58093830298938,86.20985600865178
89,30/3/2008,1100.0,595.0,-225.29289478389762,73.1748651470298
90,31/3/2008,919.0,574.0,-235.9956044842403,51.365634411535396
91,1/4/2008,1090.0,543.0,-213.04928939467715,25.28971908311817
92,2/4/2008,1170.0,513.0,-159.765475596789,0.09558375635350203
93,3/4/2008,1210.0,483.0,-85.01642919209002,-20.09716997286683
94,4/4/2008,1420.0,453.0,-0.5355081777221979,-32.02992483053086
95,5/4/2008,1570.0,471.0,76.51613657525198,-34.25692713501479
96,6/4/2008,1550.0,487.0,130.5136842236124,-28.501100248987875
97,7/4/2008,1300.0,494.0,154.79170125316594,-17.845466810407064
98,8/4/2008,1430.0,498.0,154.54058295657757,-5.803624713788057
99,9/4/2008,1570.0,512.0,133.19714948020805,4.01630105532737
100,10/4/2008,1570.0,526.0,92.73641890667443,8.852176862548294
101,11/4/2008,1550.0,509.0,40.69830041771638,7.409189009049777
102,12/4/2008,1390.0,500.0,-11.847321999023794,0.6857602359499673
103,13/4/2008,1250.0,492.0,-51.7896865871279,-8.91054433392278
104,14/4/2008,1020.0,466.0,-72.18281600863008,-18.541612201736662
105,15/4/2008,1430.0,449.0,-69.95602994359484,-25.316664084488217
106,16/4/2008,1480.0,447.0,-60.73309678802953,-27.37009854511253
107,17/4/2008,1440.0,483.0,-56.54024576758212,-24.71739861196022
108,18/4/2008,1430.0,471.0,-60.10125533668654,-19.17551228457097
109,19/4/2008,1520.0,472.0,-69.75791672830391,-12.048785988319494
110,20/4/2008,1460.0,493.0,-81.575599056193,-4.728755258758616
111,21/4/2008,1240.0,494.0,-86.10767157317547,0.8542184098028436
112,22/4/2008,1480.0,512.0,-75.85502122101677,3.7769665441456604
113,23/4/2008,1530.0,504.0,-59.26233479626741,4.002966232186758
114,24/4/2008,1430.0,496.0,-47.804056257825884,3.026124659232937
115,25/4/2008,1550.0,488.0,-54.162756471267556,2.6975416434596697
116,26/4/2008,1720.0,472.0,-93.8148627298525,4.3341858194011635
117,27/4/2008,1780.0,477.0,-177.3696187931645,8.605716003249498
118,28/4/2008,1350.0,512.0,-302.00666567780934,14.402134717013277
119,29/4/2008,1600.0,518.0,-443.33104893327675,19.274141387654108
120,30/4/2008,1680.0,546.0,-581.467433831622,21.312389769094477
121,1/5/2008,1390.0,543.0,-686.7175941776527,18.594802668216033
122,2/5/2008,1140.0,497.0,-719.3322036370818,11.041071185879142
123,3/5/2008,1330.0,474.0,-645.6944982297292,0.350604173796194
124,4/5/2008,1500.0,471.0,-456.49883924422255,-11.65691977721449
125,5/5/2008,1710.0,464.0,-163.13869379126137,-22.371651985112422
126,6/5/2008,2870.0,491.0,197.19981096755257,-29.14233591334027
127,7/5/2008,3270.0,491.0,552.3999822130853,-30.381398781024398
128,8/5/2008,3600.0,461.0,841.6778656788837,-25.46469395401069
129,9/5/2008,3650.0,433.0,1016.6780928012413,-14.043954145698024
130,10/5/2008,3540.0,471.0,1055.3401557730185,2.6090989701438785
131,11/5/2008,3540.0,542.0,963.5596380819152,20.374534811824127
132,12/5/2008,3330.0,555.0,767.9190319637594,34.379277073689295
133,13/5/2008,3300.0,545.0,514.6359777383601,41.771889036544124
134,14/5/2008,3230.0,533.0,252.77945964850383,41.6824111482419
135,15/5/2008,2820.0,515.0,25.81895319119701,34.86671660285486
136,16/5/2008,2570.0,492.0,-131.1237003155386,23.244124935817837
137,17/5/2008,2450.0,516.0,-201.20170683895844,9.996202732512582
138,18/5/2008,2390.0,510.0,-187.62874179482733,-2.639453221433545
139,19/5/2008,2340.0,471.0,-110.26653663000431,-12.872466169214984
140,20/5/2008,2830.0,441.0,-3.7592364299314482,-19.202355820328616
141,21/5/2008,3320.0,418.0,84.3948843310929,-21.29503152602237
142,22/5/2008,3440.0,446.0,114.32524164136309,-20.034648603585048
143,23/5/2008,3090.0,529.0,73.78406021357844,-18.405029535626305
144,24/5/2008,2700.0,505.0,-21.04546267333349,-20.80410256763688
145,25/5/2008,2370.0,490.0,-140.07038041257888,-28.168351039807707
146,26/5/2008,1980.0,428.0,-250.90563067035194,-40.196767259107624
147,27/5/2008,2400.0,438.0,-328.669560831256,-54.13533584719332
148,28/5/2008,2610.0,428.0,-369.76056041525266,-67.61090218335167
149,29/5/2008,2710.0,427.0,-375.4774521190586,-77.46311085228128
150,30/5/2008,2850.0,454.0,-353.5244079049247,-81.09618884770751
151,31/5/2008,2830.0,460.0,-321.6565369823754,-77.2325818388462
152,1/6/2008,2510.0,460.0,-295.3743656739912,-65.26059557826372
153,2/6/2008,2190.0,490.0,-276.1545111310173,-45.63295926711148
154,3/6/2008,2530.0,526.0,-261.4990968232922,-20.950414869653404
155,4/6/2008,3370.0,610.0,-258.80525396755706,4.4325565162811635
156,5/6/2008,3390.0,617.0,-281.7613846609277,24.33942846591841
157,6/6/2008,3110.0,592.0,-323.7802199555968,34.94290153111808
158,7/6/2008,2970.0,630.0,-369.10760094163714,34.58569225673898
159,8/6/2008,2970.0,687.0,-405.73964284684735,22.715004513381402
160,9/6/2008,2890.0,659.0,-430.1939099903576,1.0737478727728007
161,10/6/2008,3480.0,618.0,-442.18253116540774,-24.553337137723872
162,11/6/2008,3570.0,627.0,-448.99160230185026,-47.11810718242303
163,12/6/2008,3600.0,642.0,-436.9036744118825,-61.01875914481523
164,13/6/2008,3840.0,616.0,-386.0017367491251,-62.216415201328196
165,14/6/2008,4200.0,636.0,-283.05588534173665,-47.6273899330306
166,15/6/2008,4720.0,659.0,-122.39094796180161,-18.50579522977654
167,16/6/2008,4550.0,709.0,82.4570507038095,21.011726306634074
168,17/6/2008,4390.0,809.0,317.7948076314952,63.37113637439316
169,18/6/2008,4590.0,925.0,557.0339791309997,99.39275644135135
170,19/6/2008,5680.0,953.0,758.8137609646346,120.84899960269729
171,20/6/2008,6630.0,932.0,866.7011619531929,124.11469644381627
172,21/6/2008,6750.0,900.0,844.4251397820677,110.19353720833372
173,22/6/2008,6620.0,843.0,693.9420946615901,83.46171753235693
174,23/6/2008,6020.0,813.0,438.03920234329814,50.408764314481836
175,24/6/2008,5380.0,819.0,119.30115898752965,16.90461628884478
176,25/6/2008,5200.0,816.0,-214.2814700315375,-12.907285485763174
177,26/6/2008,5000.0,804.0,-521.7227049418674,-35.55403202072608
178,27/6/2008,4820.0,797.0,-765.4564682746269,-48.9496833610217
179,28/6/2008,5350.0,799.0,-918.5326579149639,-53.37150569450644
180,29/6/2008,6260.0,800.0,-981.2456867519392,-50.69632668022901
181,30/6/2008,6190.0,832.0,-963.4870527479252,-43.23206129428351
182,1/7/2008,5900.0,849.0,-851.100733562699,-34.17893924592485
183,2/7/2008,6080.0,832.0,-624.4593665751661,-26.23325297253431
184,3/7/2008,6440.0,830.0,-286.25661846753223,-20.431799381452016
185,4/7/2008,6250.0,864.0,138.29047795967745,-16.617625432091383
186,5/7/2008,7180.0,882.0,611.6352639453582,-14.545416866925857
187,6/7/2008,8080.0,917.0,1042.0736128193137,-12.917987296413667
188,7/7/2008,9340.0,931.0,1329.4299366017697,-10.791370456877159
189,8/7/2008,10200.0,922.0,1386.9306879820945,-6.9077457010794845
190,9/7/2008,9890.0,920.0,1182.2863292072439,0.22855703043593323
191,10/7/2008,8640.0,931.0,758.8547968142165,11.611586372448844
192,11/7/2008,7660.0,930.0,222.00768637882385,26.765820579484913
193,12/7/2008,7390.0,942.0,-306.6783531086271,44.11381116704713
194,13/7/2008,7370.0,1014.0,-723.6777561555632,60.88659762352944
195,14/7/2008,7350.0,1060.0,-957.6471629841192,71.92450702708754
196,15/7/2008,7370.0,1067.0,-978.4609337813026,74.03191676664777
197,16/7/2008,7440.0,1052.0,-801.6537985343462,67.43111526798958
198,17/7/2008,7920.0,1040.0,-479.58680208291645,54.82201801933804
199,18/7/2008,9110.0,995.0,-90.79013519495001,40.287480301659784
200,19/7/2008,9960.0,960.0,270.505476295816,28.887208787597945
201,20/7/2008,10100.0,946.0,543.7604339182503,23.87134508152942
202,21/7/2008,10100.0,953.0,718.2902340185778,25.474299897634396
203,22/7/2008,10000.0,988.0,821.1897302656168,31.37698663663353
204,23/7/2008,9230.0,1007.0,902.655667342397,37.328141035866096
205,24/7/2008,8540.0,1007.0,1024.5247752265768,38.931702206256006
206,25/7/2008,9460.0,999.0,1214.8236272721906,32.72226118628375
207,26/7/2008,11500.0,1011.0,1411.2729209946126,17.322141370068262
208,27/7/2008,12200.0,985.0,1485.2398979171235,-6.592226775866973
209,28/7/2008,11200.0,918.0,1331.2999123172056,-35.437085594854636
210,29/7/2008,9860.0,848.0,916.4613853704533,-63.71635989628182
211,30/7/2008,9320.0,814.0,269.25611342571824,-86.31050348358264
212,31/7/2008,9050.0,794.0,-546.2306620160632,-100.46591713867403
213,1/8/2008,7990.0,781.0,-1428.3027635362141,-105.35440396822462
214,2/8/2008,7230.0,910.0,-2227.6306608501477,-101.98276752906911
